Stkcd	Stknme_en	Listdt	Conme_en	OWNERSHIPTYPE_EN	OWNERSHIPTYPECODE	Ipoprc	Nshripo	Parval	Markettype
688205	DKL	2022-08-09	Wuxi Taclink Optoelectronics Technology Co., Ltd.	Private Enterprises	P0306	48.5100	24320	1.0000000000	32
688206	GLDZ	2021-12-28	Primarius Technologies Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	28.2800	43380	1.0000000000	32
688207	GLST	2022-03-17	Beijing Deep Glint Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	39.4900	46245	1.0000000000	32
688208	DTKJ	2020-02-13	Shenzhen Daotong Technology Co., Ltd.	Private Enterprises	P0306	24.3600	50000	1.0000000000	32
688209	YJX	2022-04-19	Shenzhen Injoinic Technology Co., Ltd.	Private Enterprises	P0306	24.2300	42000	1.0000000000	32
688210	TLJM	2021-12-27	Shenzhen Pacific Union Precision Manufacturing Co., Ltd.	Private Enterprises	P0306	42.7600	20000	1.0000000000	32
688211	ZKWZ	2021-10-26	Wayz Intelligent Manufacturing Technology Co., Ltd.	Private Enterprises	P0306	90.2000	33000	1.0000000000	32
688212	AHNJ	2021-11-15	Shanghai Aohua Photoelectricity Endoscope CO.,LTD.	Private Enterprises	P0306	22.5000	33340	1.0000000000	32
688213	STW	2022-05-20	SmartSens Technology (Shanghai) Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	31.5100	40010	1.0000000000	32
688215	RSZN	2020-08-28	Zhejiang Risun Intelligent Technology Co., Ltd.	Private Enterprises	P0306	34.7300	10010	1.0000000000	32
688216	QPKJ	2021-06-23	China Chippcking Technology Co., Ltd.	Private Enterprises	P0306	14.8200	26570	1.0000000000	32
688217	RAJY	2021-05-17	Shanghai Rightongene Biotechnology Co., Ltd.	Private Enterprises	P0306	18.4200	13900	1.0000000000	32
688218	JSBR	2019-12-11	Jiangsu Beiren Smart Manufacturing Technology Co., Ltd.	Private Enterprises	P0306	17.3600	29340	1.0000000000	32
688219	HTGF	2020-11-18	Orinko New Material Co., Ltd.	Private Enterprises	P0306	8.2900	45928	1.0000000000	32
688220	AJKJ	2022-01-14	ASR Microelectronics Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	164.5400	41830	1.0000000000	32
688221	QYSW	2020-10-28	Frontier Biotechnologies Inc.	Sino-foreign Equity Joint Venture	P0303	20.5000	89960	1.0000000000	32
688222	CDXD	2020-04-16	HitGen Inc.	Sino-foreign Equity Joint Venture	P0303	20.5200	40680	1.0000000000	32
688223	JKNY	2022-01-26	Jinko Solar Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	5.0000	2000000	1.0000000000	32
688225	YXAQ	2022-02-09	Asiainfo Security Technologies Co., Ltd.	Private Enterprises	P0306	30.5100	40010	1.0000000000	32
688226	WTDQ	2021-07-07	Wetown Electric Group Co., Ltd.	Private Enterprises	P0306	6.4200	39000	1.0000000000	32
688227	PGGF	2021-12-30	Bingo Software Co., Ltd.	Private Enterprises	P0306	37.0900	28264	1.0000000000	32
688228	KPY	2020-03-27	Ucap Cloud Information Technology Co., Ltd.	Private Enterprises	P0306	59.2600	16783	1.0000000000	32
688229	BRSJ	2020-08-17	Bonree Data Technology Co., Ltd.	Private Enterprises	P0306	65.8200	11100	1.0000000000	32
688230	XDKJ	2021-12-01	Shanghai Prisemi Electronics Co., Ltd.	Private Enterprises	P0306	134.8100	15000	1.0000000000	32
688231	LDGF	2022-07-22	Jiangsu Longda Superalloy Co., Ltd.	Private Enterprises	P0306	39.0800	61714	1.0000000000	32
688232	XDRJ	2021-11-17	Guotai Epoint Software Co., Ltd.	Private Enterprises	P0306	48.4900	82500	1.0000000000	32
688233	SGGF	2020-02-21	Thinkon Semiconductor Jinzhou Corp.	Sino-foreign Equity Joint Venture	P0303	21.6700	40000	1.0000000000	32
688234	TYXJ	2022-01-12	SICC Co., Ltd.	Private Enterprises	P0306	82.7900	42971	1.0000000000	32
688235	BJSZ	2021-12-15	BeiGene, Ltd.	Solely Foreign-funded	P0304	192.6000	115055	0.0006390100	32
688236	CLYL	2021-12-30	Beijing Chunlizhengda Medical Instruments Co., Ltd.	Private Enterprises	P0306	29.8100	38428	1.0000000000	32
688237	CZHK	2022-07-01	Hubei Chaozhuo Aviation Technology Co., Ltd.	Private Enterprises	P0306	41.2700	22401	1.0000000000	32
688238	HYSW	2022-03-22	Obio Technology (Shanghai) Corp., Ltd.	Private Enterprises	P0306	13.2300	100000	1.0000000000	32
688239	HYKJ	2021-07-05	Guizhou Aviation Technical Development Co., Ltd.	Private Enterprises	P0306	11.4800	35000	1.0000000000	32
688244	YXZC	2022-10-19	Integrity Technology Group Inc.	Private Enterprises	P0306	49.1900	11708	1.0000000000	32
688246	JHMK	2021-12-14	Goodwill E-Health Info Co., Ltd.	Private Enterprises	P0306	39.5000	34469	1.0000000000	32
688247	XTYY	2022-08-25	Sinotherapeutics Inc.	Sino-foreign Equity Joint Venture	P0303	9.3700	45340	1.0000000000	32
688248	NWKJ	2021-12-22	China Southern Power Grid Technology Co., Ltd.	State-run or State-owned Holding	P0301	12.2400	84700	1.0000000000	32
688249	JHJC	2023-05-05	Nexchip Semiconductor Corporation	Private Enterprises	P0306	19.8600	501534	1.0000000000	32
688251	JSZN	2022-06-06	Hefei Jingsong Intelligent Technology Co., Ltd.	Private Enterprises	P0306	35.6200	14857	1.0000000000	32
688252	TDY	2022-09-27	Jadard Technology Inc.	Sino-foreign Equity Joint Venture	P0303	21.6800	40556	1.0000000000	32
688253	YNT	2022-07-28	Innovita Biological Technology Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	26.0600	34020	1.0000000000	32
688255	KED	2021-10-25	Hangzhou Kaierda Welding Robot Co., Ltd.	Sino-foreign Equity Joint Venture	P0303	47.1100	19604	1.0000000000	32
688256	HWJ	2020-07-20	Cambricon Technologies Corporation Limited	Private Enterprises	P0306	64.3900	40100	1.0000000000	32
688257	XRGF	2021-10-27	Shareate Tools Ltd.	Private Enterprises	P0306	62.3000	23200	1.0000000000	32
688258	ZYXX	2019-12-09	Jiangsu Eazytec Co., Ltd.	Private Enterprises	P0306	26.4900	21739	1.0000000000	32
688259	CYKJ	2022-01-12	Triductor Technology (Suzhou) Inc.	Private Enterprises	P0306	66.6000	20000	1.0000000000	32
688260	YZKJ	2021-04-06	Suzhou GYZ Electronic Technology Co., Ltd.	Private Enterprises	P0306	9.6300	30000	1.0000000000	32
