Stkcd,Stknme_en,Listdt,Conme_en,OWNERSHIPTYPE_EN,OWNERSHIPTYPECODE,Ipoprc,Nshripo,Parval,Markettype
1376,BTNY,11/3/23,Jiangxi Bestoo Energy Co. Ltd.,Private Enterprises,P0306,4.56,46090,1,4
1378,DGXC,10/30/23,Guangdong Decro Film New Materials Co. Ltd.,Private Enterprises,P0306,31.68,33334,1,4
1380,HWKJ,5/16/23,Hwaway Technology Corporation Limited,Sino-foreign Equity Joint Venture,P0303,28.84,32220,1,4
1872,ZSGK,12/26/18,China Merchants Port Group Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,3.1,,1,4
1914,ZSJY,12/16/19,China Merchants Property Operation & Service Co. Ltd.,State-run or State-owned Holding,P0301,5.5,,1,4
1965,ZSGL,12/25/17,China Merchants Expressway Network & Technology Holdings Co. Ltd.,State-run or State-owned Holding,P0301,8.18,554833,1,4
1979,ZSSK,12/30/15,China Merchants Shekou Industrial Zone Holdings Co. Ltd.,State-run or State-owned Holding,P0301,23.6,1901798,1,4
2203,HLGF,1/16/08,Zhejiang Hailiang Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,11.17,55000,1,4
2204,DLZG,1/16/08,Dalian Huarui Heavy Industry Group Co. Ltd.,State-run or State-owned Holding,P0301,10.78,54000,1,4
2205,GTGF,1/23/08,Xinjiang Guotong Pipeline Co. Ltd.,State-run or State-owned Holding,P0301,7.69,20000,1,4
2206,HLD,1/23/08,Zhejiang Hailide New Material Co. Ltd.,Private Enterprises,P0306,14.69,32000,1,4
2207,ZYGF,1/28/08,Xinjiang Zhundong Petroleum Technology Co. Ltd.,Private Enterprises,P0306,7.85,25000,1,4
2208,HFCJ,1/28/08,Hefei Urban Construction Development Co. Ltd.,State-run or State-owned Holding,P0301,15.6,26700,1,4
2209,DYL,1/30/08,Guangzhou Tech-Long Packaging Machinery Co. Ltd.,Private Enterprises,P0306,4.24,29000,1,4
2210,FMGJ,1/30/08,Shenzhen Feima International Supply Chain Co. Ltd.,Private Enterprises,P0306,7.79,35000,1,4
2211,HDXC,2/1/08,Shanghai Hongda New Material Co. Ltd.,Private Enterprises,P0306,10.49,61000,1,4
2212,TRX,2/1/08,Topsec Technologies Group Inc.,Private Enterprises,P0306,15.12,38000,1,4
2213,DWGF,2/1/08,Shenzhen Dawei Innovation Technology Company Limited,Private Enterprises,P0306,4.7,26000,1,4
2214,DLKJ,2/18/08,Zhejiang Dali Technology Co. Ltd.,Private Enterprises,P0306,6.8,25000,1,4
2215,NPX,2/18/08,Shenzhen Noposion Crop Science Co. Ltd.,Private Enterprises,P0306,9.95,30000,1,4
2216,SQSP,2/20/08,Sanquan Food Co. Ltd.,Private Enterprises,P0306,21.59,23500,1,4
2217,HLT,2/20/08,Holitech Technology Co. Ltd.,Private Enterprises,P0306,11.39,31000,1,4
2218,TRXN,2/28/08,Shenzhen Topray Solar Co. Ltd.,Private Enterprises,P0306,10.79,40000,1,4
2219,XLC,3/6/08,New Journey Health Technology Group Co. Ltd.,Private Enterprises,P0306,6.18,23400,1,4
2220,TBT,2/28/08,Dalian Tianbao Green Foods Co. Ltd.,Private Enterprises,P0306,17.07,18000,1,4
2221,DHNY,3/6/08,Oriental Energy Company Limited,Private Enterprises,P0306,5.69,56000,1,4
2222,FJKJ,3/19/08,Castech Inc.,State-run or State-owned Holding,P0301,7.79,47500,1,4
2223,YYYL,4/18/08,Jiangsu Yuyue Medical Equipment & Supply Co. Ltd.,Private Enterprises,P0306,9.48,26000,1,4
2224,SLS,4/25/08,Sanlux Co. Ltd.,Private Enterprises,P0306,9.38,19000,1,4
2225,PNGF,4/25/08,Puyang Refractories Group Co. Ltd.,Private Enterprises,P0306,4.79,60000,1,4
2226,JNHG,5/6/08,Anhui Jiangnan Chemical Industry Co. Ltd.,Private Enterprises,P0306,12.6,13500,1,4
2227,ATX,5/6/08,Shenzhen Auto Electric Power Plant Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,14.37,27500,1,4
2228,HXBZ,5/8/08,Xiamen Hexing Packaging Printing Co. Ltd.,Private Enterprises,P0306,10.15,25000,1,4
2229,HBGF,5/8/08,Hongbo Co. Ltd.,Private Enterprises,P0306,13.88,20000,1,4
2230,KDXF,5/12/08,iFLYTEK Co. Ltd.,Private Enterprises,P0306,12.66,26800,1,4
2231,AWTX,5/12/08,Allwin Telecommunication Co. Ltd.,Private Enterprises,P0306,8.46,27000,1,4
2232,QMXX,5/9/08,Qiming Information Technology Co. Ltd.,State-run or State-owned Holding,P0301,9.44,32000,1,4
2233,TPJT,5/16/08,Guangdong Tapai Group Co. Ltd.,Private Enterprises,P0306,10.03,100000,1,4
2234,MHGF,5/16/08,Shandong Minhe Animal Husbandry Co. Ltd.,Private Enterprises,P0306,10.61,27000,1,4
2235,ANGF,5/16/08,Xiamen Anne Co. Ltd.,Private Enterprises,P0306,10.91,25000,1,4
2236,DHGF,5/20/08,Zhejiang Dahua Technology Co. Ltd.,Private Enterprises,P0306,24.24,16800,1,4
2237,HBGF,5/20/08,Shandong Humon Smelting Co. Ltd.,Private Enterprises,P0306,25.98,24000,1,4
2238,TWSX,5/26/08,Shenzhen Topway Video Communication Co. Ltd.,State-run or State-owned Holding,P0301,6.98,67000,1,4
2239,ATJ,5/22/08,Aotecar New Energy Technology Co. Ltd.,Private Enterprises,P0306,9.33,34000,1,4
2240,SXLN,5/23/08,Chengxin Lithium Group Co. Ltd.,Private Enterprises,P0306,15.7,76690,1,4
2241,GEGF,5/22/08,Goertek Inc.,Private Enterprises,P0306,18.78,30000,1,4
2242,JYGF,5/28/08,Joyoung Co. Ltd.,Private Enterprises,P0306,22.54,67000,1,4
2243,LHKC,5/28/08,Shenzhen Leaguer Co. Ltd.,State-run or State-owned Holding,P0301,7.78,40500,1,4
2244,BJJT,5/29/08,Hangzhou Binjiang Real Estate Group Co. Ltd.,Private Enterprises,P0306,20.31,60000,1,4
2245,WLLX,6/5/08,Jiangsu Azure Corporation,Sino-foreign Equity Joint Venture,P0303,16.38,15200,1,4
2246,BHGF,6/5/08,North Chemical Industries Co. Ltd.,State-run or State-owned Holding,P0301,6.95,49500,1,4
2247,JLWH,6/12/08,Zhejiang Juli Culture Development Co. Ltd.,Private Enterprises,P0306,16.05,16800,1,4
2248,HDSK,6/12/08,Weihai Huadong Automation Co. Ltd.,Private Enterprises,P0306,9.8,30000,1,4
2249,DYDJ,6/19/08,Zhongshan Broad-Ocean Motor Co. Ltd.,Private Enterprises,P0306,25.6,32000,1,4
2250,LHKJ,6/19/08,Lianhe Chemical Technology Co. Ltd.,Private Enterprises,P0306,10.52,32300,1,4
2251,*ST BG,6/19/08,Better Life Commercial Chain Share Co. Ltd.,Private Enterprises,P0306,26.08,35000,1,4
2252,SHLS,6/23/08,Shanghai RAAS Blood Products Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,12.81,40000,1,4
2253,CDZS,6/23/08,Wisesoft Co. Ltd.,Private Enterprises,P0306,14.75,13000,1,4
2254,THXC,6/25/08,Tayho Advanced Materials Group Co. Ltd.,State-run or State-owned Holding,P0301,18.59,32000,1,4
2255,HLZG,6/25/08,Suzhou Hailu Heavy Industry Co. Ltd.,Private Enterprises,P0306,10.46,27700,1,4
2256,ZXGF,6/25/08,Shenzhen Sunrise New Energy Co. Ltd.,Private Enterprises,P0306,12.56,22000,1,4
2258,LEHX,7/8/08,Lier Chemical Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,16.06,34000,1,4
2259,ST SD,7/16/08,Sichuan Shengda Forestry Industry Co. Ltd.,Private Enterprises,P0306,4.56,55000,1,4
2260,DAT,7/16/08,DEA General Aviation Holding Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,6.66,30000,1,4
2261,TWXX,7/23/08,Talkweb Information System Co. Ltd.,Private Enterprises,P0306,15.37,20000,1,4
2262,EHYY,7/23/08,Jiangsu Nhwa Pharmaceutical Co. Ltd.,Private Enterprises,P0306,5.68,30000,1,4
2263,DDN,7/28/08,Zhejiang Great Southeast Co. Ltd.,Private Enterprises,P0306,5.28,64000,1,4
2264,XHD,7/31/08,New Huadu Technology Co. Ltd.,Private Enterprises,P0306,12,26800,1,4
2265,JSGY,8/6/08,Jianshe Industry Group (Yunnan) Co. Ltd.,State-run or State-owned Holding,P0301,2.88,73000,1,4
2266,ZFKG,8/6/08,Zhefu Holding Group Co. Ltd.,Private Enterprises,P0306,14.29,35800,1,4
2267,STRQ,8/13/08,Shaanxi Provincial Natural Gas Co. Ltd.,State-run or State-owned Holding,P0301,10.59,100000,1,4
2268,DKWA,8/11/08,CETC Cyberspace Security Technology Co. Ltd.,State-run or State-owned Holding,P0301,12.12,17000,1,4
2269,MBFS,8/28/08,Shanghai Metersbonwe Fashion & Accessories Co. Ltd.,Private Enterprises,P0306,19.76,70000,1,4
2270,HMZB,9/5/08,Huaming Power Equipement Co. Ltd.,Private Enterprises,P0306,8.7,36500,1,4
2271,DFYH,9/10/08,Beijing Oriental Yuhong Waterproof Technology Co. Ltd.,Private Enterprises,P0306,17.33,13200,1,4
2272,CRGF,9/19/08,Sichuan CRUN Co. Ltd.,Private Enterprises,P0306,10.44,23000,1,4
2273,SJGD,9/19/08,Zhejiang Crystal-Optech Co. Ltd.,Private Enterprises,P0306,15.29,16700,1,4
2274,HCHG,9/25/08,Jiangsu Huachang Chemical Co. Ltd.,Private Enterprises,P0306,10.01,51000,1,4
2275,GLSJ,7/10/09,Guilin Sanjin Pharmaceutical Co. Ltd.,Private Enterprises,P0306,19.8,46000,1,4
2276,WMGF,7/10/09,Zhejiang Wanma Co. Ltd.,Private Enterprises,P0306,11.5,50000,1,4
2277,YAGF,7/17/09,Hunan Friendship & Apollo Commercial Co. Ltd.,Private Enterprises,P0306,19.58,50000,1,4
2278,SKGF,8/11/09,Shanghai SK Petroleum and Chemical Equipment Corporation Ltd.,Private Enterprises,P0306,15.96,46000,1,4
2279,JQRJ,8/11/09,Beijing Join-Cheer Software Co. Ltd.,Private Enterprises,P0306,27,15300,1,4
2280,LLHD,8/21/09,Hangzhou Liaison Interactive Information Technology Co. Ltd.,Private Enterprises,P0306,22.8,13500,1,4
2281,GXKJ,8/21/09,Accelink Technologies Co Ltd.,State-run or State-owned Holding,P0301,16,40000,1,4
2282,BSGF,8/21/09,Bosun Co. Ltd.,Private Enterprises,P0306,11.5,43400,1,4
2283,TRGY,8/21/09,Tianrun Industry Technology Co. Ltd.,Private Enterprises,P0306,14,60000,1,4
2284,YTGF,8/28/09,Zhejiang Asia-Pacific Mechanical & Electronic Co. Ltd.,Private Enterprises,P0306,18.8,24000,1,4
2285,SLH,8/28/09,Shenzhen WorldUnion Group Incorporated,Private Enterprises,P0306,19.68,32000,1,4
2286,BLB,8/28/09,Baolingbao Biology Co. Ltd.,Private Enterprises,P0306,20.56,20000,1,4
2287,QZZY,8/28/09,Tibet Cheezheng Tibetan Medicine Co. Ltd.,Private Enterprises,P0306,11.81,41000,1,4
2288,CHKJ,9/3/09,Guangdong Chaohua Technology Co. Ltd.,Private Enterprises,P0306,12.1,22000,1,4
2289,ST YS,9/3/09,Shenzhen Success Electronics Co. Ltd.,Private Enterprises,P0306,15.88,18500,1,4
2290,HSXC,9/3/09,Suzhou Hesheng Special Material Co. Ltd.,Private Enterprises,P0306,27.8,21000,1,4
2291,YWKJ,9/3/09,Foshan Yowant Technology Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,18,55000,1,4
2292,AFYL,9/10/09,Alpha Group Co. Ltd.,Private Enterprises,P0306,22.92,40000,1,4
2293,LLSH,9/10/09,Luolai Lifestyle Technology Co. Ltd.,Private Enterprises,P0306,27.16,35100,1,4
2294,XLT,9/10/09,Shenzhen Salubris Pharmaceuticals Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,41.98,28500,1,4
2295,JYGF,9/29/09,Guangdong Jingyi Metal Co. Ltd.,Private Enterprises,P0306,13,36000,1,4
2296,HHKJ,9/29/09,Henan Splendor Science & Technology Co. Ltd.,Private Enterprises,P0306,25,15500,1,4
2297,BYXC,9/29/09,Hunan Boyun New Materials Co. Ltd.,State-run or State-owned Holding,P0301,10.8,27000,1,4
2298,ZDXF,9/29/09,Anhui Sinonet & Xinlong Science & Technology Co. Ltd.,Private Enterprises,P0306,9.5,28000,1,4
2299,SNFZ,10/21/09,Fujian Sunner Development Co. Ltd.,Private Enterprises,P0306,19.75,41000,1,4
2300,TYDL,10/21/09,Fujian Nanping Sun Cable Co. Ltd.,Private Enterprises,P0306,20.56,34000,1,4
2301,QXJT,10/21/09,Shenzhen Comix Group Co. Ltd.,Private Enterprises,P0306,20,31200,1,4
2302,XBJS,11/3/09,China West Construction Group Co. Ltd.,State-run or State-owned Holding,P0301,15,35000,1,4
2303,MYS,11/3/09,MYS Group Co. Ltd.,Private Enterprises,P0306,25.36,45000,1,4
2304,YHGF,11/6/09,Jiangsu Yanghe Brewery Joint-Stock Co. Ltd.,State-run or State-owned Holding,P0301,60,45000,1,4
2305,NGZY,11/6/09,Langold Real Estate Co. Ltd.,Private Enterprises,P0306,12.3,48000,1,4
2306,ZKYW,11/11/09,Cloud Live Technology Group Co. Ltd.,Private Enterprises,P0306,18.9,50000,1,4
2307,BXLQ,11/11/09,Xinjiang Beixin Road & Bridge Group Co. Ltd.,State-run or State-owned Holding,P0301,8.58,47500,1,4
2308,WCGF,11/27/09,Vtron Group Co. Ltd.,Sino-foreign Equity Joint Venture,P0303,23.8,53450,1,4
2309,ST ZL,11/27/09,Jiangsu Zhongli Group Co. Ltd.,Private Enterprises,P0306,46,33500,1,4
2310,DFYL,11/27/09,Beijing Orient Landscape & Environment Co. Ltd.,Private Enterprises,P0306,58.6,14500,1,4
2311,HDJT,11/27/09,Guangdong Haid Group Co. Ltd.,Private Enterprises,P0306,28,56000,1,4
2312,CFLM,12/3/09,Sichuan Development Lomon Co. Ltd.,Private Enterprises,P0306,28.6,15000,1,4
2313,RHZN,12/3/09,Sunsea AIoT Technology Co. Ltd.,Private Enterprises,P0306,24.8,25000,1,4
2314,NSKG,12/3/09,Shenzhen New Nanshan Holding (Group) Co. Ltd.,State-run or State-owned Holding,P0301,16.82,73641,1,4
